1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,43,69427,4337903,Santa Clara,East Side Union High,Silver Creek High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,465",741,30.10%,"1,035",42.00%,"2,418",722,29.90%,"1,012",41.90%,Y
2014-2015,43,69435,1,Santa Clara,Evergreen Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,4,0,0.00%,0,0.00%,Y
2014-2015,43,69435,102616,Santa Clara,Evergreen Elementary,Carolyn A. Clark Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,807,48,5.90%,64,7.90%,797,47,5.90%,63,7.90%,Y
2014-2015,43,69435,6047120,Santa Clara,Evergreen Elementary,Cadwallader Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,366,129,35.20%,162,44.30%,366,129,35.20%,162,44.30%,Y
2014-2015,43,69435,6047138,Santa Clara,Evergreen Elementary,Evergreen Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,800,53,6.60%,67,8.40%,784,53,6.80%,67,8.50%,Y
2014-2015,43,69435,6047146,Santa Clara,Evergreen Elementary,Holly Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,655,252,38.50%,332,50.70%,640,248,38.80%,327,51.10%,Y
2014-2015,43,69435,6047153,Santa Clara,Evergreen Elementary,Katherine R. Smith Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,658,470,71.40%,533,81.00%,633,459,72.50%,517,81.70%,Y
2014-2015,43,69435,6047161,Santa Clara,Evergreen Elementary,O. B. Whaley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,582,379,65.10%,440,75.60%,569,375,65.90%,435,76.40%,Y
2014-2015,43,69435,6047179,Santa Clara,Evergreen Elementary,Quimby Oak Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,983,251,25.50%,323,32.90%,983,251,25.50%,323,32.90%,Y
2014-2015,43,69435,6067193,Santa Clara,Evergreen Elementary,Cedar Grove Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,742,225,30.30%,285,38.40%,722,224,31.00%,282,39.10%,Y
2014-2015,43,69435,6071534,Santa Clara,Evergreen Elementary,Laurelwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,369,76,20.60%,88,23.80%,369,76,20.60%,88,23.80%,Y
2014-2015,43,69435,6085690,Santa Clara,Evergreen Elementary,George V. LeyVa Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,916,500,54.60%,606,66.20%,916,500,54.60%,606,66.20%,Y
2014-2015,43,69435,6095988,Santa Clara,Evergreen Elementary,John J. Montgomery Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,587,281,47.90%,353,60.10%,587,281,47.90%,353,60.10%,Y
2014-2015,43,69435,6102081,Santa Clara,Evergreen Elementary,Norwood Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,699,138,19.70%,178,25.50%,699,138,19.70%,178,25.50%,Y
2014-2015,43,69435,6105787,Santa Clara,Evergreen Elementary,Millbrook Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,731,229,31.30%,285,39.00%,713,226,31.70%,281,39.40%,Y
2014-2015,43,69435,6107593,Santa Clara,Evergreen Elementary,Dove Hill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,529,273,51.60%,336,63.50%,514,269,52.30%,331,64.40%,Y
2014-2015,43,69435,6110159,Santa Clara,Evergreen Elementary,Chaboya Middle,Elementary School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,"1,124",121,10.80%,155,13.80%,"1,124",121,10.80%,155,13.80%,Y
2014-2015,43,69435,6111942,Santa Clara,Evergreen Elementary,Silver Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,687,7,1.00%,11,1.60%,687,7,1.00%,11,1.60%,Y
2014-2015,43,69435,6115851,Santa Clara,Evergreen Elementary,Tom Matsumoto Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,820,24,2.90%,34,4.10%,811,24,3.00%,33,4.10%,Y
2014-2015,43,69435,6117956,Santa Clara,Evergreen Elementary,James Franklin Smith Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,798,39,4.90%,62,7.80%,779,39,5.00%,61,7.80%,Y
2014-2015,43,69450,108696,Santa Clara,Franklin-McKinley Elementary,Ramblewood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,413,221,53.50%,262,63.40%,413,221,53.50%,262,63.40%,Y
2014-2015,43,69450,111849,Santa Clara,Franklin-McKinley Elementary,Success Academy,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,4,98,78,79.60%,87,88.80%,94,76,80.90%,83,88.30%,Y
2014-2015,43,69450,113662,Santa Clara,Franklin-McKinley Elementary,Voices College-Bound Language Academy,Elementary School District,Elementary Schools (Public),Traditional,,Y,846,Directly funded,Y,K,8,440,231,52.50%,328,74.50%,440,231,52.50%,328,74.50%,Y
2014-2015,43,69450,121483,Santa Clara,Franklin-McKinley Elementary,Cornerstone Academy Preparatory,Elementary School District,Elementary Schools (Public),Traditional,,Y,1167,Directly funded,N,K,6,412,232,56.30%,299,72.60%,411,231,56.20%,298,72.50%,Y
2014-2015,43,69450,123299,Santa Clara,Franklin-McKinley Elementary,Rocketship Mosaic Elementary,Elementary School District,Elementary Schools (Public),Traditional,,Y,1192,Directly funded,Y,K,5,582,438,75.30%,513,88.10%,582,438,75.30%,513,88.10%,Y
2014-2015,43,69450,127225,Santa Clara,Franklin-McKinley Elementary,College Connection Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,141,82,58.20%,100,70.90%,141,82,58.20%,100,70.90%,Y
2014-2015,43,69450,128108,Santa Clara,Franklin-McKinley Elementary,Rocketship Spark Academy,Elementary School District,Elementary Schools (Public),Traditional,,Y,1526,Directly funded,Y,K,5,568,361,63.60%,456,80.30%,537,347,64.60%,430,80.10%,Y
2014-2015,43,69450,129205,Santa Clara,Franklin-McKinley Elementary,KIPP Heritage Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,Y,1608,Directly funded,Y,5,8,105,58,55.20%,76,72.40%,105,58,55.20%,76,72.40%,Y
2014-2015,43,69450,129247,Santa Clara,Franklin-McKinley Elementary,ACE Franklin McKinley,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,Y,1545,Directly funded,Y,5,8,149,134,89.90%,144,96.60%,149,134,89.90%,144,96.60%,Y
2014-2015,43,69450,6047195,Santa Clara,Franklin-McKinley Elementary,Franklin Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,796,549,69.00%,673,84.50%,788,544,69.00%,667,84.60%,Y
2014-2015,43,69450,6047203,Santa Clara,Franklin-McKinley Elementary,G. W. Hellyer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,434,277,63.80%,330,76.00%,434,277,63.80%,330,76.00%,Y
2014-2015,43,69450,6047211,Santa Clara,Franklin-McKinley Elementary,Captain Jason M. Dahl Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,652,507,77.80%,576,88.30%,652,507,77.80%,576,88.30%,Y
2014-2015,43,69450,6047229,Santa Clara,Franklin-McKinley Elementary,Bridges Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,Y,1220,Locally funded,N,7,8,597,420,70.40%,486,81.40%,597,420,70.40%,486,81.40%,Y
2014-2015,43,69450,6047237,Santa Clara,Franklin-McKinley Elementary,Los Arboles Literacy and Technology Academy,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,3,489,430,87.90%,464,94.90%,473,421,89.00%,450,95.10%,Y
2014-2015,43,69450,6047245,Santa Clara,Franklin-McKinley Elementary,McKinley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,434,386,88.90%,412,94.90%,432,385,89.10%,411,95.10%,Y
2014-2015,43,69450,6047252,Santa Clara,Franklin-McKinley Elementary,Santee Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,409,393,96.10%,401,98.00%,409,393,96.10%,401,98.00%,Y
2014-2015,43,69450,6047260,Santa Clara,Franklin-McKinley Elementary,Lairon College Preparatory Academy,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,4,8,516,451,87.40%,494,95.70%,516,451,87.40%,494,95.70%,Y
2014-2015,43,69450,6047278,Santa Clara,Franklin-McKinley Elementary,Sylvandale Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,776,552,71.10%,634,81.70%,776,552,71.10%,634,81.70%,Y
2014-2015,43,69450,6067201,Santa Clara,Franklin-McKinley Elementary,Robert F. Kennedy Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,532,399,75.00%,459,86.30%,519,389,75.00%,449,86.50%,Y
2014-2015,43,69450,6071542,Santa Clara,Franklin-McKinley Elementary,Stonegate Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,7,688,467,67.90%,557,81.00%,675,459,68.00%,548,81.20%,Y
2014-2015,43,69450,6105795,Santa Clara,Franklin-McKinley Elementary,Windmill Springs Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,584,321,55.00%,388,66.40%,573,315,55.00%,381,66.50%,Y
2014-2015,43,69450,6109433,Santa Clara,Franklin-McKinley Elementary,Jeanne R. Meadows Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,507,331,65.30%,415,81.90%,495,324,65.50%,406,82.00%,Y
2014-2015,43,69450,6115943,Santa Clara,Franklin-McKinley Elementary,"Shirakawa (George, Sr.) Elementary",Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,871,490,56.30%,601,69.00%,857,483,56.40%,594,69.30%,Y
2014-2015,43,69468,1,Santa Clara,Fremont Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,30,1,3.30%,2,6.70%,22,1,4.50%,2,9.10%,Y
2014-2015,43,69468,4330569,Santa Clara,Fremont Union High,Community Day,High School District,District Community Day Schools,Community Day School,,N,,,N,9,12,13,5,38.50%,11,84.60%,12,4,33.30%,10,83.30%,Y
2014-2015,43,69468,4331799,Santa Clara,Fremont Union High,Cupertino High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,168",157,7.20%,211,9.70%,"2,123",152,7.20%,206,9.70%,Y
2014-2015,43,69468,4332474,Santa Clara,Fremont Union High,Fremont High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,965",657,33.40%,814,41.40%,"1,917",633,33.00%,787,41.10%,Y
2014-2015,43,69468,4333316,Santa Clara,Fremont Union High,Homestead High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,406",290,12.10%,366,15.20%,"2,360",285,12.10%,359,15.20%,Y
2014-2015,43,69468,4334421,Santa Clara,Fremont Union High,Lynbrook High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,853",73,3.90%,89,4.80%,"1,821",69,3.80%,83,4.60%,Y
2014-2015,43,69468,4334462,Santa Clara,Fremont Union High,Monta Vista High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,357",40,1.70%,53,2.20%,"2,331",40,1.70%,53,2.30%,Y
2014-2015,43,69484,1,Santa Clara,Gilroy Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,12,3,25.00%,3,25.00%,12,3,25.00%,3,25.00%,Y
2014-2015,43,69484,100990,Santa Clara,Gilroy Unified,Solorsano Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,853,432,50.60%,482,56.50%,853,432,50.60%,482,56.50%,Y
2014-2015,43,69484,114496,Santa Clara,Gilroy Unified,Dr. T. J. Owens Gilroy Early College Academy,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,242,61,25.20%,84,34.70%,239,59,24.70%,82,34.30%,Y
2014-2015,43,69484,118380,Santa Clara,Gilroy Unified,Christopher High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,889",555,29.40%,680,36.00%,"1,845",541,29.30%,664,36.00%,Y
2014-2015,43,69484,123760,Santa Clara,Gilroy Unified,Gilroy Prep School (Navigators School),Unified School District,Elementary Schools (Public),Traditional,,Y,1278,Directly funded,Y,K,8,362,158,43.60%,189,52.20%,362,158,43.60%,189,52.20%,Y
2014-2015,43,69484,4332839,Santa Clara,Gilroy Unified,Gilroy High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,364",656,48.10%,758,55.60%,"1,319",633,48.00%,731,55.40%,Y
2014-2015,43,69484,4334850,Santa Clara,Gilroy Unified,Mt. Madonna High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,259,152,58.70%,159,61.40%,205,124,60.50%,129,62.90%,Y
2014-2015,43,69484,6047286,Santa Clara,Gilroy Unified,Luigi Aprea Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,729,109,15.00%,142,19.50%,729,109,15.00%,142,19.50%,Y
2014-2015,43,69484,6047294,Santa Clara,Gilroy Unified,El Roble Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,645,320,49.60%,370,57.40%,615,307,49.90%,356,57.90%,Y
2014-2015,43,69484,6047302,Santa Clara,Gilroy Unified,Eliot Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,535,420,78.50%,456,85.20%,504,396,78.60%,430,85.30%,Y
2014-2015,43,69484,6047310,Santa Clara,Gilroy Unified,Glen View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,586,434,74.10%,493,84.10%,586,434,74.10%,493,84.10%,Y
2014-2015,43,69484,6047328,Santa Clara,Gilroy Unified,Las Animas Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,681,256,37.60%,312,45.80%,681,256,37.60%,312,45.80%,Y
2014-2015,43,69484,6047336,Santa Clara,Gilroy Unified,Rucker Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,526,273,51.90%,317,60.30%,526,273,51.90%,317,60.30%,Y
2014-2015,43,69484,6098214,Santa Clara,Gilroy Unified,South Valley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,867,494,57.00%,581,67.00%,867,494,57.00%,581,67.00%,Y
2014-2015,43,69484,6106991,Santa Clara,Gilroy Unified,Rod Kelley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,771,356,46.20%,449,58.20%,771,356,46.20%,449,58.20%,Y
2014-2015,43,69484,6111785,Santa Clara,Gilroy Unified,Brownell Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,899,322,35.80%,377,41.90%,899,322,35.80%,377,41.90%,Y
2014-2015,43,69484,6116461,Santa Clara,Gilroy Unified,Antonio Del Buono Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,620,380,61.30%,435,70.20%,573,355,62.00%,408,71.20%,Y
2014-2015,43,69492,6047351,Santa Clara,Lakeside Joint,Lakeside Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,5,93,8,8.60%,10,10.80%,88,8,9.10%,10,11.40%,Y
2014-2015,43,69500,6047369,Santa Clara,Loma Prieta Joint Union Elementary,Loma Prieta Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,300,13,4.30%,15,5.00%,299,13,4.30%,15,5.00%,Y
2014-2015,43,69500,6093058,Santa Clara,Loma Prieta Joint Union Elementary,C. T. English Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,196,9,4.60%,10,5.10%,196,9,4.60%,10,5.10%,Y
2014-2015,43,69518,1,Santa Clara,Los Altos Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,5,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,Y
2014-2015,43,69518,6047377,Santa Clara,Los Altos Elementary,Almond Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,545,47,8.60%,57,10.50%,533,46,8.60%,56,10.50%,Y
2014-2015,43,69518,6047385,Santa Clara,Los Altos Elementary,Ardis G. Egan Junior High,Elementary School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,619,36,5.80%,45,7.30%,619,36,5.80%,45,7.30%,Y
2014-2015,43,69518,6047401,Santa Clara,Los Altos Elementary,Covington Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,553,7,1.30%,8,1.40%,552,7,1.30%,8,1.40%,Y
2014-2015,43,69518,6047427,Santa Clara,Los Altos Elementary,Gardner Bullis Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,337,2,0.60%,2,0.60%,337,2,0.60%,2,0.60%,Y
2014-2015,43,69518,6047435,Santa Clara,Los Altos Elementary,Georgina P. Blach Junior High,Elementary School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,525,10,1.90%,11,2.10%,525,10,1.90%,11,2.10%,Y
2014-2015,43,69518,6047450,Santa Clara,Los Altos Elementary,Loyola Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,526,3,0.60%,5,1.00%,526,3,0.60%,5,1.00%,Y
2014-2015,43,69518,6047468,Santa Clara,Los Altos Elementary,Oak Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,459,4,0.90%,4,0.90%,459,4,0.90%,4,0.90%,Y
2014-2015,43,69518,6047492,Santa Clara,Los Altos Elementary,Santa Rita Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,568,59,10.40%,71,12.50%,555,57,10.30%,69,12.40%,Y
2014-2015,43,69518,6047500,Santa Clara,Los Altos Elementary,Springer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,538,11,2.00%,11,2.00%,525,11,2.10%,11,2.10%,Y
2014-2015,43,69526,6047518,Santa Clara,Los Gatos Union Elementary,Blossom Hill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,669,9,1.30%,11,1.60%,662,9,1.40%,11,1.70%,Y
2014-2015,43,69526,6047526,Santa Clara,Los Gatos Union Elementary,Daves Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,580,6,1.00%,9,1.60%,571,6,1.10%,9,1.60%,Y
2014-2015,43,69526,6047534,Santa Clara,Los Gatos Union Elementary,Lexington Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,157,9,5.70%,9,5.70%,156,9,5.80%,9,5.80%,Y
2014-2015,43,69526,6047542,Santa Clara,Los Gatos Union Elementary,Louise Van Meter Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,668,18,2.70%,20,3.00%,657,17,2.60%,19,2.90%,Y
2014-2015,43,69526,6047567,Santa Clara,Los Gatos Union Elementary,Raymond J. Fisher Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,246",38,3.00%,43,3.50%,"1,246",38,3.00%,43,3.50%,Y
2014-2015,43,69534,1,Santa Clara,Los Gatos-Saratoga Joint Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,12,0,0.00%,0,0.00%,11,0,0.00%,0,0.00%,Y
2014-2015,43,69534,4334371,Santa Clara,Los Gatos-Saratoga Joint Union High,Los Gatos High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,912",48,2.50%,55,2.90%,"1,857",45,2.40%,52,2.80%,Y
2014-2015,43,69534,4337762,Santa Clara,Los Gatos-Saratoga Joint Union High,Saratoga High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,378",11,0.80%,11,0.80%,"1,334",11,0.80%,11,0.80%,Y
2014-2015,43,69542,6047575,Santa Clara,Luther Burbank,Luther Burbank Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,8,552,539,97.60%,541,98.00%,538,525,97.60%,527,98.00%,Y
2014-2015,43,69575,1,Santa Clara,Moreland,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,5,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,Y
2014-2015,43,69575,129940,Santa Clara,Moreland,Latimer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,216,79,36.60%,97,44.90%,206,77,37.40%,95,46.10%,Y
2014-2015,43,69575,6047740,Santa Clara,Moreland,Country Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,684,88,12.90%,109,15.90%,671,85,12.70%,106,15.80%,Y
2014-2015,43,69575,6047765,Santa Clara,Moreland,Easterbrook Discovery,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,"1,027",179,17.40%,232,22.60%,"1,016",178,17.50%,230,22.60%,Y
2014-2015,43,69575,6047781,Santa Clara,Moreland,Moreland Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,027",330,32.10%,403,39.20%,"1,027",330,32.10%,403,39.20%,Y
2014-2015,43,69575,6047799,Santa Clara,Moreland,George C. Payne Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,652,222,34.00%,256,39.30%,639,219,34.30%,253,39.60%,Y
2014-2015,43,69575,6047807,Santa Clara,Moreland,Gussie M. Baker Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,722,91,12.60%,120,16.60%,705,89,12.60%,118,16.70%,Y
2014-2015,43,69575,6047831,Santa Clara,Moreland,Leroy Anderson Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,492,359,73.00%,424,86.20%,481,352,73.20%,416,86.50%,Y
2014-2015,43,69583,1,Santa Clara,Morgan Hill Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,Y
2014-2015,43,69583,102368,Santa Clara,Morgan Hill Unified,Ann Sobrato High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,451",351,24.20%,416,28.70%,"1,419",345,24.30%,410,28.90%,Y
2014-2015,43,69583,4333951,Santa Clara,Morgan Hill Unified,Live Oak High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,050",292,27.80%,361,34.40%,"1,016",282,27.80%,350,34.40%,Y
2014-2015,43,69583,4334488,Santa Clara,Morgan Hill Unified,Central High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,143,56,39.20%,68,47.60%,111,42,37.80%,53,47.70%,Y
2014-2015,43,69583,6047914,Santa Clara,Morgan Hill Unified,Nordstrom Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,637,84,13.20%,105,16.50%,637,84,13.20%,105,16.50%,Y
2014-2015,43,69583,6047922,Santa Clara,Morgan Hill Unified,P. A. Walsh STEAM Academy,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,601,382,63.60%,439,73.00%,571,369,64.60%,423,74.10%,Y
2014-2015,43,69583,6047948,Santa Clara,Morgan Hill Unified,San Martin Gwinn Environmental Science Academy,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,518,298,57.50%,351,67.80%,518,298,57.50%,351,67.80%,Y
2014-2015,43,69583,6095384,Santa Clara,Morgan Hill Unified,Lewis H. Britton Middle,Unified School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,624,212,34.00%,242,38.80%,624,212,34.00%,242,38.80%,Y
2014-2015,43,69583,6095392,Santa Clara,Morgan Hill Unified,Los Paseos Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,586,148,25.30%,173,29.50%,586,148,25.30%,173,29.50%,Y
2014-2015,43,69583,6098263,Santa Clara,Morgan Hill Unified,Jackson Academy of Music and Math (JAMM),Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,594,193,32.50%,216,36.40%,594,193,32.50%,216,36.40%,Y
2014-2015,43,69583,6098271,Santa Clara,Morgan Hill Unified,Paradise Valley/Machado Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,661,133,20.10%,164,24.80%,661,133,20.10%,164,24.80%,Y
2014-2015,43,69583,6100325,Santa Clara,Morgan Hill Unified,Martin Murphy Middle,Unified School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,479,170,35.50%,196,40.90%,479,170,35.50%,196,40.90%,Y
2014-2015,43,69583,6109375,Santa Clara,Morgan Hill Unified,El Toro Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,475,178,37.50%,210,44.20%,431,171,39.70%,199,46.20%,Y
2014-2015,43,69583,6118376,Santa Clara,Morgan Hill Unified,Barrett Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,573,259,45.20%,306,53.40%,573,259,45.20%,306,53.40%,Y
2014-2015,43,69583,6118541,Santa Clara,Morgan Hill Unified,Charter School of Morgan Hill,Unified School District,Elementary Schools (Public),Traditional,,Y,363,Directly funded,Y,K,8,601,13,2.20%,24,4.00%,601,13,2.20%,24,4.00%,Y
2014-2015,43,69591,1,Santa Clara,Mountain View Whisman ,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,1,33.30%,1,33.30%,3,1,33.30%,1,33.30%,Y
2014-2015,43,69591,121830,Santa Clara,Mountain View Whisman ,Independent Study Program,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,13,1,7.70%,1,7.70%,13,1,7.70%,1,7.70%,Y
2014-2015,43,69591,6047955,Santa Clara,Mountain View Whisman ,Benjamin Bubb Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,562,119,21.20%,136,24.20%,557,118,21.20%,135,24.20%,Y
2014-2015,43,69591,6047963,Santa Clara,Mountain View Whisman ,Edith Landels Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,538,149,27.70%,181,33.60%,521,149,28.60%,180,34.50%,Y
2014-2015,43,69591,6047971,Santa Clara,Mountain View Whisman ,Frank L. Huff Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,583,42,7.20%,51,8.70%,582,42,7.20%,51,8.80%,Y
2014-2015,43,69591,6047989,Santa Clara,Mountain View Whisman ,Isaac Newton Graham Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,781,217,27.80%,254,32.50%,781,217,27.80%,254,32.50%,Y
2014-2015,43,69591,6048003,Santa Clara,Mountain View Whisman ,Mariano Castro Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,726,385,53.00%,435,59.90%,694,376,54.20%,423,61.00%,Y
2014-2015,43,69591,6049464,Santa Clara,Mountain View Whisman ,Stevenson Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,368,26,7.10%,27,7.30%,368,26,7.10%,27,7.30%,Y
2014-2015,43,69591,6049472,Santa Clara,Mountain View Whisman ,Crittenden Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,603,281,46.60%,346,57.40%,603,281,46.60%,346,57.40%,Y
